Create query	Criar pesquisa
Context	Contexto
Form (Case and diacritic insensitive)	Forma (sem distinção de maiúsculas/minúsculas e diacríticos)
CQL Query Visualization	Visualização da consulta CQL
Global Data	Dados gerais
Token count	Total de formas ortográficas
Type count	Total de formas distintas
Lemma count	Total de lemas
Document count	Total de documentos
Sentence count	Total de sentenças
Frequency Options	Opções de frequência
store this query	guardar esta consulta
Custom distribution	Distribuição personalizada
Document	Documento
Download text	Baixar texto
